gene,gene_full,effect_size,cohens_d,pvalue,ecdna_pos_mean,ecdna_neg_mean,ecdna_pos_std,ecdna_neg_std,n_pos,n_neg,fdr,category,vulnerability_score,combined_rank
CCDC166,CCDC166 (100130274),0.0043608554236699,0.0369248933815573,0.6861450392402841,-0.0193924971498982,-0.0237533525735682,0.119037224661388,0.1171566710730304,92,970,0.9936509603467406,Other,0.003433106,17086.0
CS,CS (1431),0.0113781949964094,0.0500318218051203,0.5450957555794357,-0.5201271296561405,-0.53150532465255,0.2252393499555852,0.2295782783048865,92,970,0.9648637142117537,Other,0.011901154,17086.0
WDFY2,WDFY2 (115825),-0.0090318018502083,-0.0805466195676878,0.1496313810848029,0.0175987475086801,0.0266305493588884,0.1078610329651078,0.1162449162302885,92,970,0.7847104849979164,Other,-0.009821979,17087.0
DNPH1,DNPH1 (10591),0.0131800113158287,0.1183967121544454,0.8715377450627206,-0.0528643339000058,-0.0660443452158346,0.1090189910809968,0.1135758790643561,92,970,0.9999744867960496,Other,0.014265157,17088.0
ZNF492,ZNF492 (57615),0.0392225176382218,0.1383976345882231,0.7446689488312087,-0.8894821125983963,-0.928704630236618,0.2759744209833631,0.290644770898215,92,970,0.9999744867960496,Other,0.052942827,17088.0
CBX4,CBX4 (8535),0.0151128459605906,0.1247499383837283,0.9157937162325404,-0.0906605622678023,-0.105773408228393,0.1232899244610456,0.1189616475193145,92,970,0.9999744867960496,Other,0.017416766,17088.0
TLR7,TLR7 (51284),0.0057313283837336,0.0562186160742829,0.8264443287226084,0.0491673729281155,0.0434360445443819,0.0957800872792318,0.1077618797635526,92,970,0.9999744867960496,Other,0.0049179983,17088.0
ZSCAN20,ZSCAN20 (7579),-0.0017101387926469,-0.0151815305777565,0.3120910046398893,-0.1574850957415239,-0.1557749569488769,0.1081115002973795,0.1170049104919789,92,970,0.8743091854805377,Other,-0.002928113,17089.0
PPFIBP1,PPFIBP1 (8496),-0.0111344903375446,-0.1225201838917775,0.1739207182527146,0.0484483029019519,0.0595827932394966,0.0914858285659958,0.0902677395242751,92,970,0.7967034796207331,Other,-0.011478568,17091.0
OTUD7A,OTUD7A (161725),0.0045777780354823,0.043407111971294,0.7200926973361441,-0.0567316818086775,-0.0613094598441599,0.1036240970367902,0.107267384380652,92,970,0.9999744867960496,Other,0.0036468063,17092.0
