gene,gene_full,effect_size,cohens_d,pvalue,ecdna_pos_mean,ecdna_neg_mean,ecdna_pos_std,ecdna_neg_std,n_pos,n_neg,fdr,category
PSME3IP1,PSME3IP1 (80011),0.0006085172113324926,0.005514535898605112,0.43411038706398225,-0.01287578273575799,-0.013484299947090482,0.11364611987651303,0.10694792158540621,92,970,0.9316194416988189,Other
LUC7L2,LUC7L2 (51631),0.0006093569251554576,0.002963334234002558,0.4013491874441773,-0.3031082686425335,-0.30371762556768894,0.18190695548118477,0.22688997194936208,92,970,0.9188964145957269,Other
LY6H,LY6H (4062),0.0006101531242717617,0.005497451318236151,0.4290776317073655,0.06282238651697916,0.0622122333927074,0.11001491706104537,0.11195334569063375,92,970,0.9313135065524997,Other
ARMC12,ARMC12 (221481),0.0006103012794761997,0.00527315600618397,0.4993614916160711,0.035555276937940715,0.034944975658464515,0.11500905754491397,0.11646115493283854,92,970,0.953973287947084,Other
TMBIM6,TMBIM6 (7009),0.0006125858229312064,0.006100374479972779,0.5141151895354313,-0.006881782784302432,-0.007494368607233639,0.09334850910836379,0.10702103137640495,92,970,0.9566932439772262,Other
NEK8,NEK8 (284086),0.0006138163991490919,0.005503420910466303,0.6884121948471846,-0.06636574654961072,-0.06697956294875981,0.1054470130970747,0.11730481472683241,92,970,0.9938669895498314,Other
ATOSA,ATOSA (56204),0.0006138502008254942,0.006750520554627428,0.6115224152826028,-0.042940703205676896,-0.04355455340650239,0.08657417823550174,0.09509368150011277,92,970,0.9771928871934871,Other
ZNF510,ZNF510 (22869),0.0006151348055349545,0.005954599012131971,0.4837579914812441,0.00854814684557056,0.007933012040035605,0.09873807336054582,0.10767677926793225,92,970,0.9471649344090367,Other
DECR1,DECR1 (1666),0.0006182987935843473,0.007446305106315636,0.6194047791811175,-0.018804631343381274,-0.01942293013696562,0.08123595403622479,0.08479453088345879,92,970,0.9775194118232627,Other
RGP1,RGP1 (9827),0.0006183348015207368,0.002310197939106725,0.5717600639958388,-0.4346965553211606,-0.4353148901226813,0.26786284228226453,0.26744593236800523,92,970,0.971279773887422,Other
